benchmark,seed,condition,receiver_accuracy,matched_minus_condition,base_accuracy,target_public_accuracy,receiver_minus_base,override_rate,help_count,harm_count,ci95_low_vs_base,ci95_high_vs_base
OpenBookQA,47,candidate_derangement,0.292,0.132,0.21,0.372,0.082,0.29,66,25,0.04595,0.12
OpenBookQA,47,candidate_roll_packet,0.292,0.132,0.21,0.372,0.082,0.29,66,25,0.04595,0.12
OpenBookQA,47,label_permutation,0.424,0,0.378,0.372,0.046,0.28,58,35,0.008,0.084
OpenBookQA,47,matched_source_private_packet,0.424,0,0.378,0.372,0.046,0.28,58,35,0.00795,0.08405
OpenBookQA,47,random_same_byte_packet,0.37,0.054,0.228,0.372,0.142,0.842,135,64,0.088,0.194
OpenBookQA,47,same_byte_structured_text,0.378,0.046,0.35,0.372,0.028,0.196,32,18,0,0.056
OpenBookQA,47,same_source_choice_wrong_row_packet,0.422,0.002,0.378,0.372,0.044,0.414,76,54,0,0.088
OpenBookQA,47,shuffled_source_packet,0.364,0.06,0.25,0.372,0.114,0.8,127,70,0.06,0.168
OpenBookQA,47,source_label_copy,0.372,0.052,0.378,0.372,-0.006,0.96,115,118,-0.066,0.056
OpenBookQA,47,target_derived_sidecar,0.352,0.072,0.276,0.372,0.076,0.312,61,23,0.04,0.112
OpenBookQA,47,target_public_ridge,0.372,0.052,0.372,0.372,0,0.836,0,0,0,0
OpenBookQA,47,zero_source,0.372,0.052,0.276,0.372,0.096,0.95,126,78,0.04,0.152
