rule,deployable_without_source_index,validation_accuracy,validation_llama_choice_rate,test_accuracy,test_llama_choice_rate,validation_minus_qwen,test_minus_qwen
source_matches_llama_prediction,False,0.49027777777777776,0.5458333333333333,0.4418604651162791,0.531923890063425,0.10138888888888886,0.1247357293868922
packet_margin_ge:0.131799,True,0.4083333333333333,0.25555555555555554,0.36152219873150104,0.28076109936575055,0.01944444444444443,0.04439746300211417
packet_margin_ge:0.110764,True,0.40555555555555556,0.3388888888888889,0.36321353065539114,0.3513742071881607,0.016666666666666663,0.04608879492600426
packet_margin_ge:0.165045,True,0.4013888888888889,0.1736111111111111,0.35306553911205074,0.18858350951374206,0.012500000000000011,0.035940803382663866
packet_margin_ge:0.0879565,True,0.39861111111111114,0.42083333333333334,0.3674418604651163,0.44059196617336155,0.009722222222222243,0.05031712473572941
packet_l2_ge:1.08342,True,0.3972222222222222,0.16666666666666666,0.32558139534883723,0.1463002114164905,0.008333333333333304,0.008456659619450357
packet_margin_ge:0.0575288,True,0.39305555555555555,0.5847222222222223,0.3704016913319239,0.5906976744186047,0.004166666666666652,0.053276955602537035
packet_l2_ge:1.1068,True,0.39305555555555555,0.08333333333333333,0.3221987315010571,0.08160676532769556,0.004166666666666652,0.0050739957716702255
packet_margin_ge:0.0719339,True,0.39166666666666666,0.5013888888888889,0.3691331923890063,0.5128964059196617,0.002777777777777768,0.05200845665961945
packet_margin_ge:0.376901,True,0.39166666666666666,0.011111111111111112,0.31839323467230446,0.013530655391120507,0.002777777777777768,0.0012684989429175841
packet_margin_ge:0.20988,True,0.3902777777777778,0.09305555555555556,0.3391120507399577,0.11035940803382664,0.001388888888888884,0.02198731501057083
always_qwen,True,0.3888888888888889,0.0,0.3171247357293869,0.0,0.0,0.0
source_index_eq:3,False,0.3875,0.2222222222222222,0.3361522198731501,0.26215644820295986,-0.001388888888888884,0.019027484143763207
packet_margin_ge:0.0360009,True,0.3875,0.7486111111111111,0.37293868921775897,0.7298097251585624,-0.001388888888888884,0.05581395348837209
source_index_eq:0,False,0.3861111111111111,0.2361111111111111,0.321353065539112,0.23255813953488372,-0.002777777777777768,0.004228329809725151
packet_l2_ge:1.06285,True,0.3861111111111111,0.24861111111111112,0.33403805496828753,0.22748414376321352,-0.002777777777777768,0.01691331923890066
packet_margin_ge:0.021196,True,0.3819444444444444,0.8291666666666667,0.3733615221987315,0.8439746300211417,-0.006944444444444475,0.0562367864693446
packet_margin_ge:0.0460166,True,0.3819444444444444,0.6666666666666666,0.3691331923890063,0.6625792811839324,-0.006944444444444475,0.05200845665961945
packet_scale_ge:0.305003,True,0.3819444444444444,0.24861111111111112,0.33403805496828753,0.23551797040169134,-0.006944444444444475,0.01691331923890066
packet_scale_ge:0.318756,True,0.3819444444444444,0.16527777777777777,0.32558139534883723,0.15940803382663848,-0.006944444444444475,0.008456659619450357
source_index_eq:2,False,0.38055555555555554,0.2569444444444444,0.32642706131078225,0.26004228329809725,-0.00833333333333336,0.009302325581395376
packet_scale_ge:0.345573,True,0.38055555555555554,0.08194444444444444,0.3217758985200846,0.07103594080338266,-0.00833333333333336,0.004651162790697716
packet_scale_ge:0.282806,True,0.37916666666666665,0.4166666666666667,0.3403805496828753,0.4054968287526427,-0.009722222222222243,0.023255813953488413
packet_l2_ge:1.04344,True,0.37777777777777777,0.33194444444444443,0.3412262156448203,0.33530655391120506,-0.011111111111111127,0.024101479915433432
packet_scale_ge:0.29165,True,0.3736111111111111,0.33194444444444443,0.3408033826638478,0.3285412262156448,-0.015277777777777779,0.023678646934460923
packet_scale_ge:0.273805,True,0.37222222222222223,0.5,0.34460887949260044,0.49725158562367866,-0.016666666666666663,0.027484143763213564
packet_margin_ge:0.0120185,True,0.37083333333333335,0.9125,0.3687103594080338,0.9150105708245243,-0.018055555555555547,0.05158562367864694
source_index_eq:1,False,0.3680555555555556,0.2847222222222222,0.3357293868921776,0.2452431289640592,-0.020833333333333315,0.018604651162790697
packet_l2_ge:1.02832,True,0.3680555555555556,0.4166666666666667,0.3395348837209302,0.42875264270613106,-0.020833333333333315,0.02241014799154334
packet_scale_ge:0.265679,True,0.36666666666666664,0.5819444444444445,0.34460887949260044,0.5983086680761099,-0.022222222222222254,0.027484143763213564
packet_scale_ge:0.258882,True,0.3638888888888889,0.6652777777777777,0.3488372093023256,0.6596194503171248,-0.025000000000000022,0.031712473572938715
packet_l2_ge:0.98406,True,0.3611111111111111,0.6666666666666666,0.34545454545454546,0.6646934460887949,-0.02777777777777779,0.028329809725158583
packet_l2_ge:1.01101,True,0.3611111111111111,0.4986111111111111,0.3416490486257928,0.5137420718816068,-0.02777777777777779,0.024524312896405942
packet_scale_ge:0.231227,True,0.3611111111111111,0.9166666666666666,0.36617336152219876,0.9167019027484143,-0.02777777777777779,0.049048625792811884
packet_l2_ge:0.926379,True,0.3597222222222222,0.9152777777777777,0.36405919661733616,0.9183932346723045,-0.029166666666666674,0.04693446088794928
packet_scale_ge:0.241108,True,0.3597222222222222,0.8319444444444445,0.3627906976744186,0.8389006342494715,-0.029166666666666674,0.04566596194503175
packet_scale_ge:0.25088,True,0.35833333333333334,0.75,0.35391120507399576,0.7437632135306554,-0.030555555555555558,0.036786469344608885
packet_l2_ge:0.785585,True,0.35694444444444445,0.9986111111111111,0.3682875264270613,1.0,-0.03194444444444444,0.05116279069767443
packet_l2_ge:0.998672,True,0.35694444444444445,0.5819444444444445,0.34291754756871035,0.5881606765327696,-0.03194444444444444,0.02579281183932347
always_llama,True,0.35555555555555557,1.0,0.3682875264270613,1.0,-0.033333333333333326,0.05116279069767443
llama_qwen_disagree,True,0.35555555555555557,0.6402777777777777,0.3682875264270613,0.6473572938689218,-0.033333333333333326,0.05116279069767443
packet_margin_ge:0,True,0.35555555555555557,1.0,0.3682875264270613,1.0,-0.033333333333333326,0.05116279069767443
packet_scale_ge:0.189848,True,0.35555555555555557,0.9986111111111111,0.3678646934460888,0.999154334038055,-0.033333333333333326,0.05073995771670192
packet_l2_ge:0.96993,True,0.3541666666666667,0.75,0.35348837209302325,0.7374207188160676,-0.03472222222222221,0.036363636363636376
packet_l2_ge:0.952051,True,0.3527777777777778,0.8333333333333334,0.359830866807611,0.8232558139534883,-0.036111111111111094,0.04270613107822413
source_matches_qwen_prediction,False,0.26944444444444443,0.5138888888888888,0.240169133192389,0.4989429175475687,-0.11944444444444446,-0.07695560253699787
