row_id,evidence_class,measured_on,native_required,present,valid,missing_native_metrics,source_text_exposed,source_kv_exposed,source_hidden_or_score_vector_exposed,payload_bytes_available,framed_bytes_available,throughput_claim_allowed,latency_claim_allowed,memory_traffic_claim_allowed,allowed_claim,forbidden_claim
latentwire_packet_cached_source,this_work,not_measured,True,False,False,44,False,False,False,False,False,False,False,False,Mac-local packet byte/exposure accounting only,"throughput, HBM, or native serving win until valid native packet rows exist"
latentwire_packet_end_to_end_source_scoring,this_work,not_measured,True,False,False,44,False,False,False,False,False,False,False,False,Mac-local packet byte/exposure accounting only,"throughput, HBM, or native serving win until valid native packet rows exist"
target_only_vllm,serving_baseline,not_measured,True,False,False,44,False,False,False,False,False,False,False,False,required native serving baseline missing,packet speedup or memory win without matched LatentWire rows
target_only_sglang,serving_baseline,not_measured,True,False,False,44,False,False,False,False,False,False,False,False,required native serving baseline missing,packet speedup or memory win without matched LatentWire rows
same_byte_visible_text,text_control,not_measured,True,False,False,44,True,False,False,False,False,False,False,False,required control row missing,positive systems claim from a control row
source_label_copy_control,label_copy_control,not_measured,True,False,False,44,False,False,False,False,False,False,False,False,required control row missing,positive systems claim from a control row
c2c_cache_to_cache,cache_communication,not_measured,True,False,False,44,False,True,False,False,False,False,False,False,required native source-state comparator not yet measured,treating source-state/KV transfer as source-private packet communication
kvcomm_selective_kv,kv_communication,not_measured,True,False,False,44,False,True,False,False,False,False,False,False,required native source-state comparator not yet measured,treating source-state/KV transfer as source-private packet communication
kvcomm_online_cross_context,kv_communication,not_measured,True,False,False,44,False,True,False,False,False,False,False,False,required native source-state comparator not yet measured,treating source-state/KV transfer as source-private packet communication
qjl_1bit_source_state,quantized_projection,not_measured,True,False,False,44,False,True,True,False,False,False,False,False,required native source-state comparator not yet measured,treating source-state/KV transfer as source-private packet communication
turboquant_lowbit_source_state,quantized_kv,not_measured,True,False,False,44,False,True,True,False,False,False,False,False,required native source-state comparator not yet measured,treating source-state/KV transfer as source-private packet communication
