trace_group,method,surface,raw_payload_bytes,single_request_cacheline_bytes,single_request_dma_bytes,batch64_line_bytes_per_request,batch64_dma_bytes_per_request,accuracy,target_accuracy,delta_vs_target,source_private,source_text_exposed,source_kv_exposed,controls,claim_scope,systems_readout
endpoint_packet,LatentWire endpoint packet,core n160 label_strict,2,64,128,5,6,0.675,0.25,0.425,True,False,False,passed,mac_endpoint_proxy,source-private packet stays below one cache line when batched and avoids text/KV movement
endpoint_packet,LatentWire endpoint packet,holdout n160 label_strict,2,64,128,5,6,0.6875,0.25,0.4375,True,False,False,passed,mac_endpoint_proxy,source-private packet stays below one cache line when batched and avoids text/KV movement
endpoint_text_relay,query-aware diagnostic text,core n160 label_strict,14,64,128,,,,0.25,,False,True,False,not_applicable,text_relay_comparator,query-aware text ties one cache line but exposes private text and uses 7x raw bytes
endpoint_text_relay,full hidden-log relay,core n160 label_strict,366.5,384,384,,,,0.25,,False,True,False,not_applicable,text_relay_comparator,full private text relay costs multiple cache lines and adds endpoint TTFT
endpoint_text_relay,query-aware diagnostic text,holdout n160 label_strict,14,64,128,,,,0.25,,False,True,False,not_applicable,text_relay_comparator,query-aware text ties one cache line but exposes private text and uses 7x raw bytes
endpoint_text_relay,full hidden-log relay,holdout n160 label_strict,373.5,384,384,,,,0.25,,False,True,False,not_applicable,text_relay_comparator,full private text relay costs multiple cache lines and adds endpoint TTFT
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,4,64,128,7,8,,0.25,,True,False,False,passed,medium_confirmation_accounting,source-private packet stays below one cache line when batched and avoids text/KV movement
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,8,64,128,11,12,,0.25,,True,False,False,passed,medium_confirmation_accounting,source-private packet stays below one cache line when batched and avoids text/KV movement
kv_byte_floor,QJL-style 1-bit source KV byte floor,endpoint source context byte accounting,21504,21504,21504,,,,,,False,False,True,not_applicable,kv_cache_lower_bound,"KV/cache transport is a lower-bound accounting row, not a native benchmark"
kv_byte_floor,KIVI/KVQuant-style 2-bit source KV byte floor,endpoint source context byte accounting,43008,43008,43008,,,,,,False,False,True,not_applicable,kv_cache_lower_bound,"KV/cache transport is a lower-bound accounting row, not a native benchmark"
