surface,interface,bytes,accuracy
core_seed29,packet,2,1.0
core_seed29,json,2,0.25
core_seed29,free_text,2,0.25
core_seed29,hidden_log_prefix,2,0.25
core_seed29,packet,4,1.0
core_seed29,json,4,0.25
core_seed29,free_text,4,0.25
core_seed29,hidden_log_prefix,4,0.25
core_seed29,packet,8,1.0
core_seed29,json,8,0.25
core_seed29,free_text,8,0.25
core_seed29,hidden_log_prefix,8,0.25
core_seed29,packet,16,1.0
core_seed29,json,16,0.25
core_seed29,free_text,16,0.25
core_seed29,hidden_log_prefix,16,0.25
core_seed29,packet,32,1.0
core_seed29,json,32,1.0
core_seed29,free_text,32,1.0
core_seed29,hidden_log_prefix,32,0.25
core_seed29,full_diag,14.0,1.0
core_seed29,full_log,366.45,1.0
holdout_seed30,packet,2,1.0
holdout_seed30,json,2,0.25
holdout_seed30,free_text,2,0.25
holdout_seed30,hidden_log_prefix,2,0.25
holdout_seed30,packet,4,1.0
holdout_seed30,json,4,0.25
holdout_seed30,free_text,4,0.25
holdout_seed30,hidden_log_prefix,4,0.25
holdout_seed30,packet,8,1.0
holdout_seed30,json,8,0.25
holdout_seed30,free_text,8,0.25
holdout_seed30,hidden_log_prefix,8,0.25
holdout_seed30,packet,16,1.0
holdout_seed30,json,16,0.25
holdout_seed30,free_text,16,0.25
holdout_seed30,hidden_log_prefix,16,0.25
holdout_seed30,packet,32,1.0
holdout_seed30,json,32,1.0
holdout_seed30,free_text,32,1.0
holdout_seed30,hidden_log_prefix,32,0.25
holdout_seed30,full_diag,14.0,1.0
holdout_seed30,full_log,373.496,1.0
